2018-07-03 11:14:44:667 0 sec: 0 operations; 
2018-07-03 11:14:54:643 10 sec: 29822 operations; 2982.2 current ops/sec; [INSERT AverageLatency(us)=339.79] 
2018-07-03 11:15:04:643 20 sec: 55269 operations; 2544.7 current ops/sec; [INSERT AverageLatency(us)=392.12] 
2018-07-03 11:15:14:643 30 sec: 80301 operations; 2503.2 current ops/sec; [INSERT AverageLatency(us)=394.22] 
2018-07-03 11:15:24:644 40 sec: 106430 operations; 2612.64 current ops/sec; [INSERT AverageLatency(us)=385.58] 
2018-07-03 11:15:34:643 50 sec: 131462 operations; 2503.45 current ops/sec; [INSERT AverageLatency(us)=394.49] 
2018-07-03 11:15:44:643 60 sec: 157147 operations; 2568.5 current ops/sec; [INSERT AverageLatency(us)=389.76] 
2018-07-03 11:15:54:643 70 sec: 183128 operations; 2598.1 current ops/sec; [INSERT AverageLatency(us)=383.93] 
2018-07-03 11:16:04:644 80 sec: 208812 operations; 2568.14 current ops/sec; [INSERT AverageLatency(us)=383.54] 
2018-07-03 11:16:14:644 90 sec: 234764 operations; 2595.2 current ops/sec; [INSERT AverageLatency(us)=387.76] 
2018-07-03 11:16:24:644 100 sec: 260274 operations; 2551.26 current ops/sec; [INSERT AverageLatency(us)=392.36] 
2018-07-03 11:16:34:643 110 sec: 286252 operations; 2597.8 current ops/sec; [INSERT AverageLatency(us)=382.78] 
2018-07-03 11:16:44:644 120 sec: 312025 operations; 2577.04 current ops/sec; [INSERT AverageLatency(us)=382.87] 
2018-07-03 11:16:54:643 130 sec: 337739 operations; 2571.66 current ops/sec; [INSERT AverageLatency(us)=389.58] 
2018-07-03 11:17:04:643 140 sec: 362979 operations; 2524 current ops/sec; [INSERT AverageLatency(us)=390.48] 
2018-07-03 11:17:14:644 150 sec: 388752 operations; 2577.04 current ops/sec; [INSERT AverageLatency(us)=391.33] 
2018-07-03 11:17:24:644 160 sec: 413992 operations; 2524 current ops/sec; [INSERT AverageLatency(us)=392.69] 
2018-07-03 11:17:34:644 170 sec: 438193 operations; 2420.34 current ops/sec; [INSERT AverageLatency(us)=407.69] 
2018-07-03 11:17:44:644 180 sec: 462899 operations; 2470.35 current ops/sec; [INSERT AverageLatency(us)=403.26] 
2018-07-03 11:17:47:033 182 sec: 462903 operations; 1.68 current ops/sec; [CLEANUP AverageLatency(us)=59] [INSERT AverageLatency(us)=135117478.75] 
